file_name,text,bin_category,normalized_length
/drive/MyDrive/Comp 542/IAM/words/h07/h07-037/h07-037-02-02.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/r06/r06-027/r06-027-00-06.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/b01/b01-000/b01-000-06-03.png,issue,short,0.5
/drive/MyDrive/Comp 542/IAM/words/f07/f07-039b/f07-039b-02-01.png,in,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/p01/p01-174/p01-174-06-00.png,led,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/g04/g04-068/g04-068-07-11.png,Pensions,short,0.875
/drive/MyDrive/Comp 542/IAM/words/n04/n04-044/n04-044-06-02.png,have,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/a01/a01-107u/a01-107u-06-05.png,The,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/j06/j06-014/j06-014-00-00.png,Such,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n02/n02-157/n02-157-08-02.png,an',very short,0.25
/drive/MyDrive/Comp 542/IAM/words/n02/n02-009/n02-009-06-05.png,came,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/j04/j04-070/j04-070-03-00.png,the,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/m01/m01-104/m01-104-00-04.png,"""",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/a04/a04-059/a04-059-00-07.png,to,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/f04/f04-100/f04-100-10-01.png,used,very short,0.375
/drive/MyDrive/Comp 542/IAM/words/n04/n04-218/n04-218-03-03.png,unruffled,short,1.0
/drive/MyDrive/Comp 542/IAM/words/a03/a03-037/a03-037-04-06.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/d06/d06-027/d06-027-01-03.png,",",very short,0.0
/drive/MyDrive/Comp 542/IAM/words/g06/g06-026h/g06-026h-02-12.png,.,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/c04/c04-156/c04-156-02-06.png,job,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/e02/e02-025/e02-025-05-01.png,in,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/g06/g06-031r/g06-031r-04-03.png,great,short,0.5
/drive/MyDrive/Comp 542/IAM/words/g06/g06-031d/g06-031d-00-10.png,',very short,0.0
/drive/MyDrive/Comp 542/IAM/words/c02/c02-003/c02-003-04-07.png,his,very short,0.25
/drive/MyDrive/Comp 542/IAM/words/d06/d06-041/d06-041-02-04.png,a,very short,0.0
/drive/MyDrive/Comp 542/IAM/words/l07/l07-131/l07-131-01-00.png,roomy,short,0.5
/drive/MyDrive/Comp 542/IAM/words/c02/c02-012/c02-012-05-04.png,as,very short,0.125
/drive/MyDrive/Comp 542/IAM/words/n04/n04-000/n04-000-01-07.png,short,short,0.5
